Department,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Department of the Interior,606.0,730.0,755.0,745.0,866.0,863.0,973.0,1073.0,1087.0,1345.0,1609.0,1780.0,1854.0,2221.0,2433.0,3220.0,3874.0,4168.0,4472.0,4456.0,3944.0,4552.0,4936.0,4804.0,4774.0,5037.0,5138.0,5194.0,5814.0,6082.0,6531.0,6879.0,7064.0,7479.0,6776.0,6763.0,7222.0,7783.0,7998.0,7743.0,9739.0,9193.0,8606.0,9292.0,9037.0,10469.0,9817.0,11775.0,13164.0,13519.0,12891.0,9607.0,11279.0,13008.0,14707.0,15111.0,16006.0,15986.0,15936.0
Department of Justice,236.0,256.0,275.0,327.0,305.0,336.0,359.0,423.0,537.0,801.0,1053.0,1460.0,1728.0,1985.0,2140.0,2220.0,2248.0,2353.0,2438.0,2438.0,2325.0,2493.0,2816.0,3182.0,3336.0,3807.0,4656.0,5275.0,5886.0,7670.0,9208.0,9485.0,9369.0,10149.0,11049.0,13076.0,14045.0,16181.0,16846.0,18443.0,21178.0,20790.0,29601.0,22361.0,23324.0,23349.0,26545.0,27711.0,29556.0,30519.0,31159.0,29745.0,28620.0,36087.0,32463.0,35333.0,33900.0,34387.0,36419.0
Department of Labor,3914.0,3523.0,3454.0,3121.0,3239.0,3562.0,4180.0,4161.0,4976.0,8456.0,10426.0,9561.0,9964.0,18578.0,26524.0,23225.0,23694.0,23448.0,30542.0,30911.0,31479.0,38683.0,25348.0,24738.0,24934.0,24208.0,22662.0,23442.0,26087.0,34790.0,47889.0,45452.0,37819.0,32808.0,33163.0,31088.0,30580.0,32995.0,31873.0,39707.0,64686.0,69563.0,56687.0,46949.0,43138.0,47544.0,58838.0,138157.0,173053.0,131975.0,104588.0,80307.0,56774.0,52797.0,56921.0,57997.0,56094.0,59006.0,60458.0
Department of State,457.0,572.0,455.0,552.0,629.0,655.0,645.0,631.0,661.0,680.0,747.0,807.0,955.0,1075.0,1393.0,1449.0,1658.0,1987.0,2382.0,2347.0,2684.0,2793.0,2982.0,3303.0,3590.0,3572.0,4217.0,4576.0,4796.0,5149.0,5927.0,6385.0,6784.0,6263.0,5730.0,6029.0,5396.0,6554.0,6687.0,7487.0,9327.0,9343.0,10915.0,12748.0,12953.0,13737.0,17493.0,21427.0,23802.0,24354.0,26947.0,25972.0,27483.0,30521.0,30189.0,30567.0,28935.0,28770.0,28528.0
Department of Transportation,3854.0,4145.0,4736.0,5201.0,5145.0,5242.0,5555.0,5724.0,6136.0,7039.0,7244.0,7834.0,7724.0,9144.0,11709.0,11978.0,12791.0,14642.0,18166.0,20922.0,17931.0,18239.0,20507.0,22510.0,24885.0,22851.0,23698.0,23828.0,25642.0,27237.0,29098.0,30958.0,33563.0,35132.0,35144.0,36072.0,35554.0,37672.0,41555.0,49231.0,56252.0,50764.0,54879.0,56596.0,60139.0,61697.0,64944.0,73004.0,77750.0,77302.0,75149.0,76322.0,76174.0,80208.0,83932.0,90187.0,94047.0,95293.0,96815.0
Department of the Treasury,8474.0,9553.0,10289.0,10791.0,11761.0,12737.0,14290.0,16473.0,19070.0,20452.0,21539.0,30201.0,35369.0,41843.0,43407.0,48061.0,54010.0,63830.0,75451.0,91691.0,109418.0,115366.0,139911.0,163688.0,178076.0,178684.0,200406.0,229334.0,253915.0,274606.0,291005.0,296825.0,305550.0,346875.0,362862.0,377491.0,389005.0,385045.0,390524.0,388268.0,371187.0,368256.0,375844.0,410240.0,464675.0,490589.0,548797.0,701775.0,444338.0,538707.0,464714.0,399068.0,446897.0,506375.0,580379.0,676958.0,761724.0,844885.0,921121.0
Department of Veterans Affairs,5608.0,5501.0,5662.0,5710.0,5962.0,6691.0,7018.0,7670.0,8652.0,9758.0,10713.0,11970.0,13339.0,16577.0,18416.0,18020.0,18965.0,19891.0,21137.0,22907.0,23941.0,24827.0,25580.0,26322.0,26523.0,26932.0,29253.0,30014.0,28976.0,31191.0,33872.0,35461.0,37377.0,37748.0,36896.0,39253.0,41724.0,43125.0,47044.0,45012.0,50868.0,56921.0,59554.0,69815.0,69777.0,72792.0,84749.0,95457.0,108274.0,126918.0,124124.0,138464.0,149074.0,160797.0,179869.0,180868.0,177875.0,192701.0,201047.0
Corps of Engineers--Civil Works,944.0,1065.0,1091.0,1171.0,1245.0,1273.0,1252.0,1222.0,1168.0,1337.0,1490.0,1676.0,1664.0,2031.0,2112.0,2271.0,2564.0,2898.0,3218.0,3139.0,2962.0,2918.0,3036.0,2998.0,2806.0,2757.0,3028.0,3256.0,3324.0,3341.0,3565.0,3354.0,3483.0,3745.0,3627.0,3598.0,3775.0,3934.0,4229.0,4640.0,4727.0,4682.0,4728.0,4719.0,6944.0,3918.0,5075.0,6842.0,9876.0,10138.0,7777.0,6299.0,6535.0,7463.0,7595.0,6731.0,6561.0,6340.0,6208.0
Other Defense Civil Programs,956.0,1077.0,1287.0,1465.0,1681.0,1937.0,2206.0,2557.0,2974.0,3510.0,4002.0,4505.0,5216.0,6319.0,7358.0,8251.0,9203.0,10315.0,11961.0,13788.0,14997.0,16004.0,16536.0,15809.0,17483.0,17962.0,19039.0,20230.0,21690.0,23238.0,24746.0,25957.0,26969.0,27972.0,28947.0,30279.0,31204.0,31987.0,32801.0,34131.0,35136.0,39874.0,41726.0,43481.0,44435.0,47112.0,45785.0,57276.0,54032.0,54775.0,77313.0,56811.0,57370.0,59725.0,63757.0,61460.0,59701.0,65946.0,67366.0
Environmental Protection Agency,70.0,87.0,117.0,134.0,158.0,190.0,249.0,303.0,384.0,701.0,763.0,1114.0,2030.0,2531.0,3118.0,4365.0,4072.0,4800.0,5603.0,5242.0,5081.0,4312.0,4076.0,4490.0,4867.0,4904.0,4871.0,4906.0,5108.0,5769.0,5950.0,5930.0,5855.0,6351.0,6046.0,6164.0,6269.0,6733.0,7223.0,7367.0,7451.0,8041.0,8328.0,7913.0,8321.0,8259.0,7939.0,8070.0,11007.0,10772.0,12796.0,9484.0,9399.0,8325.0,8627.0,9745.0,9268.0,8528.0,8796.0
Executive Office of the President,12.0,13.0,15.0,16.0,16.0,19.0,21.0,24.0,29.0,38.0,47.0,50.0,67.0,93.0,80.0,74.0,75.0,81.0,96.0,96.0,95.0,94.0,96.0,111.0,108.0,110.0,122.0,124.0,158.0,193.0,186.0,194.0,231.0,215.0,202.0,221.0,237.0,417.0,283.0,246.0,451.0,386.0,3349.0,7686.0,5379.0,2956.0,1173.0,743.0,582.0,484.0,405.0,380.0,375.0,401.0,472.0,861.0,718.0,532.0,515.0
General Services Administration,382.0,425.0,520.0,612.0,561.0,629.0,482.0,526.0,530.0,546.0,655.0,795.0,929.0,341.0,-13.0,70.0,213.0,211.0,573.0,795.0,550.0,528.0,463.0,364.0,713.0,462.0,-95.0,-444.0,-170.0,445.0,457.0,721.0,332.0,679.0,560.0,882.0,826.0,-413.0,74.0,-309.0,-684.0,589.0,-451.0,20.0,24.0,27.0,343.0,319.0,861.0,1889.0,1753.0,-368.0,-767.0,-1178.0,-641.0,-76.0,-471.0,87.0,125.0
International Assistance Programs,3171.0,3169.0,3226.0,3248.0,3260.0,3375.0,2814.0,2803.0,2655.0,2888.0,2980.0,2317.0,3029.0,3665.0,3742.0,3616.0,5123.0,3757.0,7747.0,8127.0,7922.0,7878.0,10835.0,11858.0,11040.0,10406.0,7252.0,4291.0,10085.0,11723.0,11107.0,11524.0,10497.0,11128.0,9665.0,10075.0,8886.0,10070.0,12087.0,11804.0,13289.0,13449.0,13639.0,15024.0,13917.0,12752.0,11359.0,14797.0,20041.0,20583.0,20009.0,19672.0,18740.0,24006.0,25866.0,24746.0,23435.0,22982.0,23213.0
National Aeronautics and Space Administration,1257.0,2552.0,4171.0,5092.0,5933.0,5425.0,4722.0,4251.0,3752.0,3382.0,3423.0,3312.0,3255.0,3269.0,3671.0,4002.0,4164.0,4380.0,4959.0,5537.0,6155.0,6853.0,7055.0,7251.0,7403.0,7591.0,9092.0,11036.0,12429.0,13878.0,13961.0,14305.0,13694.0,13378.0,13881.0,14360.0,14194.0,13636.0,13428.0,14092.0,14405.0,14610.0,15152.0,15602.0,15125.0,15861.0,17833.0,19168.0,18906.0,17618.0,17190.0,16975.0,17095.0,18097.0,18732.0,18915.0,19210.0,19488.0,19688.0
National Science Foundation,183.0,206.0,310.0,309.0,368.0,415.0,449.0,490.0,464.0,522.0,567.0,585.0,647.0,662.0,733.0,753.0,803.0,870.0,912.0,976.0,1099.0,1055.0,1193.0,1309.0,1536.0,1547.0,1644.0,1736.0,1821.0,2064.0,2230.0,2429.0,2605.0,2814.0,2988.0,3093.0,3143.0,3246.0,3448.0,3662.0,4155.0,4690.0,5092.0,5403.0,5510.0,5488.0,5785.0,5958.0,6719.0,7146.0,7255.0,7417.0,7053.0,7082.0,7487.0,8605.0,7717.0,7820.0,7743.0
Office of Personnel Management,1017.0,1175.0,1304.0,1454.0,1726.0,1934.0,2154.0,2284.0,2652.0,3167.0,3776.0,4607.0,5708.0,7062.0,8323.0,9633.0,10962.0,12663.0,15056.0,18096.0,19983.0,21278.0,22590.0,23727.0,23955.0,26966.0,29191.0,29073.0,31949.0,34808.0,35596.0,36794.0,38596.0,41276.0,42870.0,45404.0,46297.0,47519.0,48655.0,50894.0,52540.0,54135.0,56547.0,59500.0,62400.0,58431.0,64393.0,72302.0,69915.0,74090.0,79457.0,83867.0,87917.0,94672.0,97185.0,96363.0,99491.0,103363.0,107224.0
Small Business Administration,230.0,142.0,133.0,243.0,210.0,151.0,284.0,110.0,253.0,333.0,452.0,1317.0,753.0,666.0,624.0,758.0,2820.0,1699.0,2026.0,2032.0,773.0,661.0,510.0,680.0,557.0,-65.0,-54.0,85.0,692.0,613.0,546.0,785.0,779.0,677.0,873.0,333.0,-77.0,57.0,-421.0,-570.0,493.0,1558.0,4075.0,2502.0,905.0,1175.0,528.0,2246.0,6128.0,6163.0,2936.0,477.0,194.0,-571.0,990.0,855.0,1065.0,1096.0,1104.0
Social Security Administration (On-Budget),..........,..........,..........,..........,..........,94.0,94.0,414.0,458.0,465.0,538.0,567.0,2750.0,5279.0,5576.0,6014.0,6595.0,6228.0,7087.0,7862.0,8520.0,29854.0,17651.0,16793.0,19316.0,16524.0,18113.0,18709.0,17276.0,19008.0,24943.0,28143.0,31164.0,31037.0,30694.0,34309.0,37542.0,40021.0,45121.0,40007.0,45816.0,46333.0,49008.0,54556.0,53252.0,54917.0,58602.0,78657.0,70758.0,155316.0,188241.0,109849.0,81184.0,88581.0,99495.0,100012.0,100319.0,109943.0,115529.0
Social Security Administration (Off-Budget),14365.0,15788.0,16620.0,17460.0,20694.0,21631.0,23760.0,26885.0,29812.0,35408.0,39620.0,48565.0,55373.0,64159.0,73384.0,84344.0,93120.0,103316.0,117872.0,138914.0,155120.0,150731.0,171167.0,183434.0,190684.0,202422.0,214489.0,227473.0,244998.0,266395.0,281418.0,298349.0,313881.0,330370.0,343869.0,358372.0,370068.0,379212.0,396169.0,421257.0,442010.0,461400.0,481200.0,506779.0,532491.0,566846.0,599197.0,648892.0,683420.0,628878.0,632903.0,757542.0,824587.0,865200.0,908104.0,957655.0,1013971.0,1073869.0,1137271.0
Other Independent Agencies (On-Budget),2283.0,1615.0,1178.0,1815.0,2494.0,3683.0,4290.0,2918.0,4263.0,5223.0,5082.0,5497.0,7076.0,8595.0,8490.0,9433.0,9022.0,10324.0,13953.0,11802.0,9184.0,8644.0,8846.0,7051.0,8871.0,10475.0,19020.0,30727.0,68704.0,76870.0,14405.0,-17321.0,3356.0,-5996.0,2743.0,-2813.0,10878.0,6189.0,8803.0,11386.0,16705.0,14579.0,10103.0,16766.0,14003.0,12913.0,47221.0,47631.0,-7525.0,17457.0,30021.0,28180.0,9087.0,20265.0,19973.0,19055.0,19168.0,21214.0,24530.0
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,355.0,157.0,773.0,1112.0,1085.0,-173.0,-496.0,-891.0,-431.0,89.0,-553.0,322.0,360.0,142.0,42.0,943.0,1712.0,-310.0,1626.0,1317.0,659.0,1441.0,1103.0,-1969.0,-180.0,-49.0,217.0,1021.0,2029.0,2302.0,-651.0,-5245.0,-4130.0,-1791.0,-1075.0,5093.0,2417.0,304.0,4700.0,808.0,2670.0,-1913.0,-2531.0,-558.0,-1608.0,1913.0,1327.0,280.0,282.0
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1875.0,-22254.0,20563.0,67855.0,37389.0,39289.0
Undistributed Offsetting Receipts,-6707.0,-7274.0,-7321.0,-7677.0,-8443.0,-9578.0,-10712.0,-11087.0,-12567.0,-14869.0,-14672.0,-18846.0,-23333.0,-21267.0,-22186.0,-23018.0,-24250.0,-27428.0,-31988.0,-41852.0,-42165.0,-51078.0,-52329.0,-58656.0,-65036.0,-72262.0,-78789.0,-89074.0,-98930.0,-110005.0,-117111.0,-119711.0,-123469.0,-137632.0,-134997.0,-154969.0,-161034.0,-159036.0,-173019.0,-191125.0,-200706.0,-210449.0,-212526.0,-226213.0,-237548.0,-260206.0,-277791.0,-274193.0,-267886.0,-276478.0,-230682.0,-249450.0,-246158.0,-286729.0,-249879.0,-249907.0,-244204.0,-250979.0,-254725.0
